Interest,Skill,Personality,Career
Data,Excel,Analytical,Data Analyst
Data,Python,Analytical,Data Scientist
Coding,Python,Logical,Software Engineer
Design,Creativity,Artistic,UI Designer
Business,Communication,Social,Business Analyst
Data,SQL,Analytical,Data Analyst
Data,Machine Learning,Analytical,Data Scientist
Coding,Java,Logical,Software Engineer
Coding,C++,Logical,Software Engineer
Design,Photoshop,Artistic,Graphic Designer
Design,Figma,Artistic,UI Designer
Business,Excel,Analytical,Business Analyst
Business,Presentation,Social,Management Consultant
Data,Statistics,Analytical,Data Scientist
Coding,JavaScript,Logical,Web Developer
Coding,React,Logical,Frontend Developer
Design,UX Research,Empathetic,UX Designer
Business,Leadership,Social,Project Manager
Data,Power BI,Analytical,Data Analyst
Data,Python,Curious,Data Scientist
Coding,Python,Analytical,Machine Learning Engineer
Design,Illustration,Artistic,Graphic Designer
Business,Negotiation,Social,Sales Manager
Business,Finance,Analytical,Financial Analyst
Data,Data Cleaning,Detail-Oriented,Data Analyst
Coding,Problem Solving,Logical,Software Engineer
Design,Animation,Creative,Animator
Business,Strategy,Analytical,Business Analyst
Data,Visualization,Creative,Data Analyst
Coding,Algorithms,Logical,Software Engineer
